Código;Nome do cargo na Pesquisa;Cargos Similares;Missão do Cargo;;;;;;;;;;;;;;;;;;;
63;Gerente de Tecnologia da Informação;;Planejar, dirigir e controlar a estrutura de serviços de TI da empresa, segurança da informação e serviços. Definir estratégias e priorizar as atividades na área, acompanhar o desempenho dos serviços de TI na empresa a fim de prover o bom funcionamento dos processos internos e sem comprometer as atividades da empresa. Coordenar a equipe na implantação e manutenção de equipamentos/sistemas e o suporte técnico ao usuário. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
827;Gerente de Telemarketing;"Gerente de Callcenter; Gerente de central de atendimento; Gerente de teleatendimento; Gerente de televendas";Gerencia e acompanhar a  produtividade e gráficos das operações.  Gerenciar  treinamentos, procedimentos.  Acompanhar relatórios dos indicadores, aplicar feedback de qualidade, Participar da estratégia do setor e elaborar orçamentos da área. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
452;Gerente de Testes (Qualidade em TI);"Gerente de Garantia da Qualidade (SQA); Gerente de Performance; Gerente de Qualidade (TI); Gerente de Qualidade de Software; Gerente de Qualidade P&D; Gerente de Testes";Responsável pela gestão da equipe de testes e qualidade em TI, visando desenvolver a equipe e gerar melhores resultados. Responder pelos níveis de qualidade das soluções oferecidas ao mercado e suas funcionalidades. Coordenar equipe e as atividades de controle de software. Cumprir os prazos estabelecidos para a realização das atividades. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
759;Gerente de Trade Marketing;"Gerente de Merchandising; Gerente de Visual Merchandising";Elaborar e gerir estratégias e ações para desenvolvimento de consumidores finais, participar na definição de campanhas de incentivo de vendas, materiais de merchandising e canais de distribuição. Gerir orçamento, negociar com varejistas e identificar tendências mercadológicas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
765;Gerente de Treinamento e Desenvolvimento;"Gerente de T&D; Gerente de Treinamento; Gerente de Treinamento e Desenvolvimento";Gerenciar a área, equipes e processos de treinamento e desenvolvimento. Gerenciar projetos e programas de treinamento. Desenvolver e gerenciar estratégias de aprendizagem organizacional e treinamento de forma atender às necessidades de clientes internos ou externos. Analisar indicadores, sugerindo programas e ações de melhoria, correção ou desenvolvimento. Monitorar a satisfação em relação aos treinamentos realizados. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1155;Impressor;"Impressor de Impressora Digital; Impressor Flexografia; Impressor HP Indigo; Impressor Offset 4 cores; Impressor Offset Monocolor";Executar o processo de impressão gráfica, incluindo impressão plana, rotativa e digital, realizando ajustes, regulagens e abastecimento das máquinas, conforme as especificações da ordem de produção. Garantir a operação eficiente e segura dos equipamentos, seguindo normas técnicas de qualidade, segurança e meio ambiente. Qualificar a equipe de impressores, promovendo treinamentos que assegurem o desenvolvimento técnico e a correta utilização dos recursos, contribuindo para a entrega de produtos em conformidade com os padrões estabelecidos.;;;;;;;;;;;;;;;;;;;
797;Laboratorista Têxtil;;Executar ensaios físicos, químicos, metalográficos e biológicos. Garantir a calibragem dos equipamentos. Formular receitas e misturas. Realizar testes e amostragem de materiais. Trabalhar segundo normas de segurança, saúde e meio ambiente. Contribuir para o sistema da qualidade da empresa. Contribuir para o desenvolvimento de novos produtos e fornecedores. Colaborar no desenvolvimento de metodologias de análises. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
938;Líder de Açougue;;Participar da coordenação e dos treinamentos da equipe de trabalho. Conferir e preencher os relatórios diários. Auxiliar no planejamento das escalas de férias, folgas, feriados e DSR da equipe. Inspecionar e controlar a temperatura dos balcões e câmaras frias. Preparar carnes para comercialização, identificando tipos, pesando e cortando. Atender cliente e fornecedores. Verificar validades, abastecer prateleiras, acompanhar descarregamento dos caminhões e controlar o estoque. Manter limpo e organizado o setor, câmaras frias, ilhas e os equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
973;Líder de Bazar;Líder de Eletro;Liderar, treinar e orientar a equipe do setor de bazar e eletro. Supervisionar vendas da equipe. Acompanhar os indicadores de resultado, de venda e de despesa. Ajudar nos processos de RH para a gestão da equipe. Coordenar e treinar os repositores externos. Atender cliente e fornecedor. Acompanhar recebimento e entrega de mercadorias. Administrar estoque para reposição e controle de perdas e trocas. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
943;Líder de Confeitaria;Lider Confeiteiro(a);Liderar, coordenar e treinar equipes de trabalho. Participar da supervisão e dos processos de confeitaria na produção e no preparo de massas, assados e produtos de confeitos para assegurar a qualidade dos produtos. Auxiliar no planejamento das escalas de férias, folgas, feriados e DSR da equipe. Ajudar nos processos de RH para a gestão da equipe. Conferir estoque para reposição e controle da matéria-prima. Atender cliente e fornecedores. Manter limpo e organizado o setor e os equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
968;Líder de Expedição;"Líder de depósito; Líder de estoque";Liderar, treinar e orientar a equipe do setor de expedição e depósito. Gerar relatórios de mercadorias para as lojas. Supervisionar as equipes para a separação de mercadorias e no processo de inventário. Acompanhar a montagem dos paletes para a expedição. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
967;Líder de Frente de Caixa;Fiscal de Caixa;Liderar, treinar e orientar a equipe da frente de caixa. Executar os procedimentos para a abertura e o fechamento dos checkouts. Realiza atendimento ao cliente. Auxiliar os operadores de caixa na resolução de problemas com clientes ou mercadorias. Conferir os caixas juntamente com os operadores no final do expediente. Controlar os intervalos, cartão ponto, escala de folga dos operadores de caixa. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
961;Líder de Frios;Líder de Perecíveis;Liderar, coordenar e treinar equipes do setor de frios. Atender clientes e fornecedores. Inspecionar os balcões e câmaras frias. Abastecer produtos no setor. Administrar estoque para reposição e controle de perdas. Realizar o planejamento das escalas de férias, folgas, feriados e DSR da equipe. Acompanhar o recebimento de mercadorias. Manter limpo e organizado o setor e os equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
963;Líder de Hortifruti;"Líder de FLV; Líder Hortifrutigranjeiro";Liderar, coordenar e treinar equipes do setor de hortifruti. Atender cliente e fornecedores. Realizar treinamento técnico do FLV (frutas, legumes e verduras). Abastecer produtos no setor. Administrar estoque para reposição e controle de perdas. Realizar o planejamento das escalas de férias, folgas, feriados e DSR da equipe. Acompanhar o recebimento de mercadorias. Manter limpo e organizado o setor e os equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
965;Líder de Loja;Líder de Mercearia;Liderar, treinar e orientar a equipe da loja, delivery, mercearia e bebidas. Coordenar e treinar os repositores externos. Atender cliente e fornecedor. Acompanhar os indicadores de resultado, de venda e de despesa. Ajudar nos processos de RH para a gestão da equipe. Acompanhar recebimento e entrega de mercadorias. Administrar estoque para reposição e controle de perdas e trocas. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
949;Líder de Padaria;"Líder Balconista de Lanchonete; Líder de Atendimento de Produção";Liderar, coordenar e treinar equipes do setor de padaria e balcão. Atender cliente e fornecedores. Participar da supervisão dos processos da padaria e balcão, promovendo a venda de produtos com exposições e ações de degustação das mercadorias. Auxiliar no planejamento das escalas de férias, folgas, feriados e DSR da equipe. Ajudar nos processos de RH para a gestão da equipe. Administrar estoques do depósito e câmara fria para reposição e controle de perdas e trocas. Manter limpo e organizado o setor e os equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
969;Líder de Prevenção de Perdas;;Liderar e treinar os fiscais de loja, portaria e guarda de estacionamento. Realizar o transporte de valores. Analisar situações e fatos suspeitos nas lojas. Checar disparo de alarmes a noite. Manter a limpeza e organização do ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
819;Mecânico de Manutenção de Máquinas;Caldeiro de Manutenção;"Realizam manutenção em componentes, equipamentos e máquinas industriais; planejam atividades de manutenção; avaliam condições de funcionamento e desempenho de componentes de máquinas e equipamentos; lubrificam máquinas, componentes e ferramentas. Documentam informações técnicas; realizam ações de qualidade e preservação ambiental e trabalham segundo normas de segurança.Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
470;Mestre de Obras;;Fiscalizar, acompanhar, executar e monitorar trabalhos de alvenaria, concreto e outros materiais. Verificar e orientar pedreiros e servente na execução da obra e conformidade com projeto. Atuar em canteiros de obras ou em laboratórios de materiais de construção, solo, asfalto, cerâmica, etc. Monitorar cronograma de obra e qualidade da execução das atividades relativas a obra. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
867;Metrologista;"Metrologista auxiliar; Metrologista de calibrações; Metrologista de ensaios";"Realizam e fiscalizam calibrações, ensaios e medições, asseguram rastreabilidade à medição, produzem padrão e materiais de referência, realizam pesquisa e desenvolvimento em metrologia; projetam, gerenciam e avaliam laboratórios de metrologia. Elaboram documentos técnicos e disseminam conhecimentos metrológicos. Entre outras atividades pertinentes ao cargo.";;;;;;;;;;;;;;;;;;;
356;Montador;Operador de Montagem;Executar processo de montagem, validando tais etapas conforme instruções de montagem. Realizar a montagem de peças, componentes e produtos conforme instruções e especificações técnicas, utilizando ferramentas manuais ou elétricas. Assegurar a qualidade e a conformidade das peças montadas, e identificar possíveis falhas ou irregularidades no processo. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
151;Motorista;;Conduzir veículos dos diversos tipos, em conformidade com a licença para dirigir, em diversos tipos de transporte. Monitorar e executar procedimentos de segurança e de manutenção do veículo periodicamente, conforme normas e recomendações aplicáveis. Verificar itinerários e condições de tráfego para garantir a realização do percurso. Orientar e acomodar passageiros. Armazenar bagagens, encomendas ou cargas de forma adequada. Conduzir de forma segura e dentro das normas de trânsito, preservando a integridade e a segurança de pessoas e dos conteúdos transportados. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
874;Motorista Carreteiro;Motorista de Caminhão de Carga;Transportam, coletam e entregam cargas em geral. Movimentam cargas volumosas e pesadas, podem, também, operar equipamentos, realizar inspeções e reparos em veículos, vistoriar cargas, além de verificar documentação de veículos e de cargas. Definem rotas e asseguram a regularidade do transporte além de realizar carregamento e descarregamento. As atividades são desenvolvidas em conformidade com normas e procedimentos técnicos e de segurança.Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
958;Motorista de Caminhão;"Motorista (D); Motorista (E); Motorista Rodoviário";Conduzir veículos de carga em geral movimentando cargas pesadas e volumosas em caminhões e carretas, em conformidade com a licença para dirigir, em diversos tipos de transporte. Monitorar e executar procedimentos de segurança e de manutenção do veículo periodicamente, conforme normas e recomendações aplicáveis. Verificar itinerários e condições de tráfego para garantir a realização do percurso. Orientar e acomodar passageiros. Armazenar bagagens, encomendas ou cargas de forma adequada. Conduzir de forma segura e dentro das normas de trânsito, preservando a integridade e a segurança de pessoas e dos conteúdos transportados. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
255;Médico do Trabalho;;Praticar a medicina preventiva e curativa do trabalho. Realizar consultas e atendimentos médicos na área de medicina ocupacional. Tratar colaboradores. Implementar ações para promoção da saúde ocupacional. Coordenar programas e serviços em saúde, efetuar perícias, auditorias e sindicâncias médicas, adotar medidas de precaução universal de biossegurança. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
769;Operador CNC;;Preparar, regular e operar máquinas de Fresa. Ajustar ferramentas. Realizar testes e controle de ferramental. Documentar processos, resultados e controles de produção. Trabalhar seguindo normas de segurança, higiene, qualidade e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1111;Operador Maquina de Corte;Operador de Maquina Transversal e Longitudinal;"Pegar o enfesto pronto da enfestadeira e programar a máquina de talhar corte; Realizar a operação de talhação e corte; Conferir o enfesto conforme ficha técnica por meio de observação da largura, comprimento, cor e tipo de malha; Recolher os produtos após talhados e alocar nos paletes; Amarrar os pacotes das peças talhadas; Colocar em caixas ou paletes os restos, sobra de malhas e retalhos para reaproveitamento; Manter limpo e organizado o ambiente de trabalho e equipamentos utilizados. Operar máquina de corte acionando dispositivos em painel de comando, para corte de tecido felpudo; Operar a máquina transversal, acionar os dispositivos, regular a máquina (costurar e colocar etiquetas na transversal nas peças automaticamente); Operar a máquina Longitudinal.";;;;;;;;;;;;;;;;;;;
1184;Operador Midia Audiovisual;;Executar e implementar efeitos especiais e trilhas sonoras, atendendo às solicitações da produção ou direção dos programas, além de realizar a sonorização completa, garantindo a qualidade técnica e o impacto sonoro necessário para a experiência audiovisual.;;;;;;;;;;;;;;;;;;;
1135;Operador de Acabamento;"Operador de Esmeril; Operador de Lixa";Realizar o acabamento de peças metálicas ou outros materiais utilizando ferramentas como esmeril, lixa e equipamentos de corte, garantindo o polimento, ajuste e a eliminação de rebarbas para atender aos padrões de qualidade exigidos. Manter a organização e limpeza do ambiente de trabalho. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1157;Operador de Acabamento Automatizado;;Operar máquinas de acabamento gráfico automatizado na indústria, realizando atividades como corte, dobra, colagem, laminação e encadernação, seguindo as especificações da ordem de produção e os padrões de qualidade, garantindo eficiência, precisão e a entrega de produtos finalizados conforme os requisitos do cliente e da empresa.;;;;;;;;;;;;;;;;;;;
1151;Operador de Acabamento Gráfico;"Operador de Acabamento Gráfico - Acopladeira; Operador de Acabamento Gráfico - Alceadeira; Operador de Acabamento Gráfico - Coladeira de Cartucho; Operador de Acabamento Gráfico - Desbobinadeira; Operador de Acabamento Gráfico - Dobradeira; Operador de Acabamento Gráfico - Guilhotina; Operador de Acabamento Gráfico - Laminadora; Operador de Acabamento Gráfico - Lombada Quadrada; Operador de Acabamento Gráfico - Revisor/Rebobinador; Operador de Acabamento Gráfico - Serifgrafia";Garantir a operação correta e eficiente das máquinas de corte e acabamento gráfico, executando o processo conforme as especificações da ordem de produção e prioridades da área, observando as normas de qualidade, a fim de assegurar a entrega de produtos finais com precisão e satisfação do cliente.;;;;;;;;;;;;;;;;;;;
1156;Operador de Acabamento Manual;;Executar o acabamento manual de materiais gráficos, realizando atividades como corte, dobra, colagem, montagem e revisão, conforme as especificações da ordem de produção, garantindo qualidade, precisão e a entrega dos produtos dentro dos padrões estabelecidos.;;;;;;;;;;;;;;;;;;;
466;Operador de Caixa;;Receber valores de vendas de produtos e serviços. Atender público em estabelecimentos comerciais. Realizar a abertura e fechamento de caixa. Emitir notas fiscais e realiza troca de produtos. Quando necessário, atender clientes. Organizar a loja e o estoque. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
885;Operador de Centro de Usinagem;;Opera e programa máquinas de comando numérico para usinagem de peças. Interpreta ordens de produção, projetos, desenhos ou esquemas, identifica ferramentas e ajusta medidas. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1159;Operador de Computação Gráfica;;Produzir e assessorar na criação de artes digitais para os processos produtivos da empresa, atendendo solicitações de trabalhos de baixa, média e alta complexidade. Garantir o cumprimento das especificações e a compatibilidade com as máquinas de impressão, utilizando sistemas eletrônicos e softwares específicos para contribuir com o fluxo produtivo, orientar a equipe quando necessário e assegurar a satisfação do cliente.;;;;;;;;;;;;;;;;;;;
1162;Operador de Controle Mestre;;Selecionar e comutar canais de alimentação de sinal, garantindo a execução precisa do roteiro de programação e comerciais preestabelecidos, assegurando a qualidade e a continuidade das transmissões.;;;;;;;;;;;;;;;;;;;
1158;Operador de Corte e Vinco Automático;;Operar máquinas de corte e vinco automatizadas na indústria gráfica, realizando ajustes, regulagens e controle do processo para garantir o corte preciso e a conformidade dos produtos com as especificações da ordem de produção, assegurando qualidade, produtividade e atendimento aos prazos estabelecidos.;;;;;;;;;;;;;;;;;;;
1142;Operador de Câmera;Cameraman;Capturar imagens de qualidade em programas, reportagens e eventos, operando câmeras de vídeo e ajustando enquadramentos, foco e iluminação, de acordo com as diretrizes do diretor e do produtor, com o objetivo de registrar cenas e momentos que atendam às necessidades da produção. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
868;Operador de Empilhadeira;"Motorista de empilhadeira; Operador de empilhadeira elétrica; Operador de máquina empilhadeira";Preparam movimentação de carga e a movimentam utilizando empilhadeira. Organizam carga, interpretando simbologia das embalagens, armazenando de acordo com o prazo de validade do produto, identificando características da carga para transporte e armazenamento e separando carga não-conforme. Realizam manutenções previstas em equipamentos para movimentação de cargas. Trabalham seguindo normas de segurança, higiene, qualidade e proteção ao meio ambiente. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1140;Operador de Extrusora;"Operador de Injetora; Operador de Sopro";Operar e monitorar máquinas de extrusão, injeção ou sopro para a produção de peças plásticas ou outros materiais, ajustando os parâmetros de operação e controle de qualidade. Realizar ajustes e manutenção básica nas máquinas para garantir a continuidade e eficiência do processo produtivo. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1136;Operador de Forno;;Operar e monitorar os fornos de fundição, controlando a temperatura, tempo e qualidade dos materiais fundidos, garantindo a produção de peças dentro dos padrões estabelecidos. Realizar a carga e descarga do forno, e acompanhar o processo de fusão, seguindo normas de segurança e qualidade. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
614;Operador de Máquina;"Operador de Máquina de Corte; Operador Industrial; Preparador de Máquina";Operar equipamentos para produção em geral, operando-as em conformidade com normas e procedimentos técnicos de qualidade, segurança, higiene, saúde e preservação ambiental. Preparar matérias-primas, máquinas e moldes para fabricação, controlando e documentando o processo de produção. Garantir a manutenção dos equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1153;Operador de Pré-Impressão;"Operador de Pré-Impressão - CTP; Operador de Pré-Impressão - Fotolito";"Preparar e ajustar arquivos e equipamentos para impressão, garantindo a compatibilidade técnica, a qualidade e a conformidade dos materiais gráficos com as especificações do cliente, otimizando o fluxo de trabalho na etapa de pré-impressão. 
Realiza a impressão dos jornais.";;;;;;;;;;;;;;;;;;;
875;Operador de estação de tratamento de água e efluentes;Operador de ETE / ETA;Monitoram o recebimento de resíduos industriais e urbanos, operam fornos de incineração e controlam o processo de tratamento de água e efluentes. Realizam amostragem de resíduos e efluentes, dosam soluções químicas e operam equipamentos eletromecânicos. Documentam dados do processo de tratamento e controlam materiais e produtos utilizados na estação de tratamento de água, efluentes e resíduos industriais. Trabalham em conformidade a normas e procedimentos técnicos e de qualidade, segurança, higiene, saúde e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1038;Operador de máquinas de construção civil e mineração;"Condutor de escavadeira; Condutor de pá mecânica; Operador de escavadeira; Operador de máquina rodoviária; Operador de tratores diversos";"Planejam o trabalho, realizam manutenção básica de máquinas pesadas e as operam. Removem solo e material orgânico ""bota-fora"", drenam solos e executam construção de aterros. Realizam acabamento em pavimentos e cravam estacas.";;;;;;;;;;;;;;;;;;;
824;Operador de telemarketing;"Atendente de Callcenter; Operador de Callcenter; Operador de telemarketing ativo; Operador de telemarketing ativo e receptivo; Operador de telemarketing receptivo; Operador de telemarketing técnico; Teleoperador de apoio";Atendem usuários, oferecem serviços e produtos, prestam serviços técnicos especializados, realizam pesquisas, fazem serviços de cobrança e cadastramento de clientes, sempre via teleatendimento, seguindo roteiros e scripts planejados e controlados para captar, reter ou recuperar clientes. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
26;Orçamentista;"Analista de Controladoria; Analista de Controle Orçamentário; Analista de Orçamento; Analista Orçamentário";Analisar, organizar e orientar sobre princípios legais, políticas e diretrizes adotadas pela empresa. Definir e implementar formas de controle orçamentário, contábil e financeiro adequadas à estratégia dos negócios. Monitorar e avaliar a performance financeira, gerando relatórios e análises para apoiar a tomada de decisões estratégicas. Assegurar a conformidade com as normas e regulamentos financeiros. Colaborar com outras áreas para alinhar as práticas financeiras e contábeis aos objetivos da empresa. Desenvolver e aprimorar sistemas de controle interno para garantir a integridade e a eficiência das operações financeiras. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
947;Padeiro;;Planejar, conduzir e realizar a produção, o preparo e o processamento de alimentos da padaria seca, como pães, pães de queijo, pães doces, orelha de gato, mini rosquinhas, sonhos, entre outros produtos. Fritar quando necessário e assar. Conferir e preencher os relatórios de produção tais como requisição de materiais e registros de saída de materiais. Verificar a qualidade dos gêneros alimentícios, minimizando riscos de contaminação. Controlar a validade de produtos. Administrar estoque para reposição e controle de perdas. Manter limpo e organizado o setor e as máquinas e equipamentos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
586;Pedreiro;;Executar trabalhos de alvenaria, concreto e outros materiais guiando-se por desenhos, esquemas e especificações. Utilizar projetos e instrumentos para construir, reformar ou reparar as construções.  Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
116;Porteiro;"Atendente de estacionamento; Monitor de câmeras";Zelar pela guarda do patrimônio e exercer a vigilância de estabelecimentos. Inspecionar suas dependências para evitar incêndios, roubos, entrada de pessoas estranhas e outras anormalidades. Monitorar e controlar fluxo de pessoas e/ou veículos, identificando, orientando e encaminhando-as para os lugares desejados. Receber hóspedes em hotéis, escoltar pessoas e mercadorias e fazer manutenções simples nos locais de trabalho. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
869;Preparador de Tintas;"Colorista; Cromista; Operador de Tinturaria; Preparador de pastas (na fabricação de tintas); Preparador de tintas (fábrica de tecidos)";Desenvolvem cartela e implementam receitas de cores para produção de artigos têxteis, do vestuário, couros e papéis. Preparar todos os tipos de pastas. Preparar cola para tapete. Operar o batedor de pasta. Receber produtos químicos. Abastecer os tanques de corantes e pigmentos. Desenvolver coloração e controlar a qualidade dos processos de estamparia, impressão e tingimento, bem como de artigos e produtos, quanto à conformidade da cor. Desenvolvem cores em laboratório. Fazer testes de qualidade dos produtos químicos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
411;Presidente;;Planejar, organizar, dirigir e controlar todas as atividades, de forma a permitir o desenvolvimento e continuidade da empresa. Estabelecer estratégias, políticas, programas e planos de curto, médio e longo prazos, assim como coordenar e acompanhar o seu desenvolvimento. Decidir sobre viabilidade de novos negócios. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
322;Produtor;;Planejar, organizar e produzir programas de televisão ou rádio, de qualquer gênero, coordenando e supervisionando a utilização eficiente de todos os recursos envolvidos, para garantir a qualidade e o alinhamento ao objetivo do conteúdo.;;;;;;;;;;;;;;;;;;;
833;Produtor Audiovisual;"Operador de Mídia; Produtor de Vídeo";Trabalhar na elaboração, planejar, organizar e coordenar as etapas de produção de conteúdos/vídeos publicitários, documentais, jornalísticos e artísticos, desde a pré-produção até a pós-produção, o que inclui cronograma, roteiro, fotografia, iluminação, sonorização, equipamentos, equipes e finalização. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
323;Produtor de Eventos;;Planejar, organizar e executar eventos de diversos tipos e portes. Administrar e supervisionar a logística dos eventos. Contratar, avaliar e supervisionar fornecedores de produtos e serviços. Elaborar roteiros de eventos e cerimoniais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
771;Programador de Centro de Usinagem;;Programar centro de usinagem. Utilizar sistemas e aplicativos técnicos de programação e desenho. Preparar e regular a máquina para indicar o processo de usinagem. Operar máquina. Ajustar ferramentas. Realizar testes e controle de ferramental. Documentar processos, resultados e controles de produção. Trabalhar seguindo normas de segurança, higiene, qualidade e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
770;Programador de Torno CNC;Fresador CNC;Programar, preparar e regular a máquina para indicar o processo de usinagem cnc. Operar máquina. Ajustar ferramentas. Realizar testes e controle de ferramental. Documentar processos, resultados e controles de produção. Trabalhar seguindo normas de segurança, higiene, qualidade e preservação ambiental. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
257;Psicólogo;;Exercer atividades no campo da psicologia organizacional, visando assegurar à Companhia, a aquisição e manutenção de pessoal qualificado. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
624;Químico;;Realizar pesquisas e ensaios, análises químicas e físico-químicas, selecionando metodologias, materiais, reagentes de análise e critérios de amostragem, homogeneizando, dimensionando e solubilizando amostras. Produzir substâncias. Desenvolver metodologias analíticas. Interpretar dados químicos. Monitorar impacto ambiental de substâncias. Supervisionar procedimentos químicos. Monitorar atividades químicas laboratoriais e industriais. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
330;Redator;"Analista de Conteúdo; Conteudista; Produtor de Conteúdo";Desenvolver conceitos e textos de divulgação. Elaborar estratégias publicitárias. Analisar dados e informações para desenvolver conteúdos estratégicos, como textos, posts, infográficos, e-books e outros formatos, garantindo relevância, qualidade e alinhamento com os objetivos da comunicação e público-alvo. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
84;Redator Técnico;"Editor de Texto; Produtor de Conteúdo Técnico; Revisor de Textos";Redigir textos e manuais técnicos dos sistemas e da empresa, detalhando o funcionamento dos produtos para um melhor entendimento do usuário final. Elaborar textos de ajuda, helps online, notas de releases e conteúdos em diversos formatos. Realizar a diagramação dos documentos através da captura e editoração de imagens. Realizar revisões, correções e atualizações de manuais técnicos e informativos em geral. Analisar as solicitações da área técnica, realizar acréscimos de conteúdo e correções dos manuais. Apoiar as áreas internas na revisão e correção de conteúdos. Identificar oportunidades de melhoria nas metodologias e formas de trabalho, sugerindo e implantando melhorias na área. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
1143;Reporter;"Reporter Cinematográfico; Reporter Especial; Reporter Fotografico";Coletar, apurar e transmitir informações em programas de rádio ou TV, realizando entrevistas, coberturas de eventos e reportagens externas, com o objetivo de informar e engajar o público, garantindo a qualidade e precisão das notícias e conteúdos apresentados. Entre outras atividades pertinentes ao cargo.Captar imagens para reportagens, produzir reportagens especiais e desenvolver conteúdos digitais, garantindo qualidade técnica e criatividade, alinhados aos objetivos editoriais e às demandas dos diversos canais de comunicação.;;;;;;;;;;;;;;;;;;;
570;Repositor;;Controlar a entrada e saída de mercadorias. Abastecer pontos definidos com mercadorias e produtos. Organizar mercadorias com identificação e descrição claras e preços atualizados. Fazer inventário de mercadorias para reposição. Registrar indicadores e elaborar relatórios. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
3;Secretária Executiva;"Secretária Executiva Bilíngue; Secretário Executivo; Secretário Executivo Bilíngue";Assessorar os executivos no desempenho de suas funções. Atender e direcionar demandas de clientes externos e internos. Gerenciar informações e elaborar documentos para os executivos. Controlar correspondência física e eletrônica dos executivos. Organizar eventos e viagens. Supervisionar equipes de trabalho. Organizar suprimentos, documentos físicos e eletrônicos, auxiliando na execução de tarefas administrativas e em reuniões dos executivos. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
118;Secretário(a);"Secretária Administrativa; Secretário Administrativo";Auxiliar na execução de tarefas administrativas e em reuniões, elaborando documentos e gerenciando agendas e compromissos. Controlar documentos e correspondências. Atender e direcionar demandas de clientes externos e internos. Organizar eventos e viagens. Assessorar profissionais para o desempenho de suas funções. Entre outras atividades pertinentes ao cargo.;;;;;;;;;;;;;;;;;;;
